1.00;2.00
2.00;4.00
3.00;6.00
4.00;8.00
5.00;10.00
6.00;12.00
7.00;14.00
8.00;16.00
9.00;18.00
10.00;20.00
11.00;22.00
12.00;24.00
13.00;26.00
14.00;28.00
15.00;30.00
16.00;32.00
17.00;34.00
18.00;36.00
19.00;38.00
20.00;40.00
21.00;42.00
22.00;44.00
23.00;46.00
24.00;48.00
25.00;50.00
26.00;52.00
27.00;54.00
28.00;56.00
29.00;58.00
30.00;60.00
31.00;62.00
32.00;64.00
33.00;66.00
34.00;68.00
35.00;70.00
36.00;72.00
37.00;74.00
38.00;76.00
39.00;78.00
40.00;80.00
41.00;82.00
42.00;84.00
43.00;86.00
44.00;88.00
45.00;90.00
46.00;92.00
47.00;94.00
48.00;96.00
49.00;98.00
50.00;100.00
51.00;102.00
52.00;104.00
53.00;106.00
54.00;108.00
55.00;110.00
56.00;112.00
57.00;114.00
58.00;116.00
59.00;118.00
60.00;120.00
61.00;122.00
62.00;124.00
63.00;126.00
64.00;128.00
65.00;130.00
66.00;132.00
67.00;134.00
68.00;136.00
69.00;138.00
70.00;140.00
71.00;142.00
72.00;144.00
73.00;146.00
